nombre,pais
AGUACHICA,Colombia
AGUSTIN CODAZZI,Colombia
ANTIOQUIA,Colombia
APARTADO,Colombia
ARAUCA,Colombia
ARMENIA,Colombia
BARRANCABERMEJA,Colombia
BARRANQUILLA,Colombia
BELLO,Colombia
BOGOTA D.C.,Colombia
BOLIVAR,Colombia
BOYACA,Colombia
BUCARAMANGA,Colombia
BUENAVENTURA,Colombia
CACERES,Colombia
CAJICA,Colombia
CALARCA,Colombia
CALDAS,Colombia
CALI,Colombia
CAMPOALEGRE,Colombia
CAREPA,Colombia
CARTAGENA DE INDIAS,Colombia
CAUCA,Colombia
CERETE,Colombia
CHIA,Colombia
CHINCHINA,Colombia
CHIQUINQUIRA,Colombia
CIENAGA,Colombia
CIENAGA DE ORO,Colombia
COPACABANA,Colombia
CORDOBA,Colombia
CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA,Colombia
COTA,Colombia
CUCUTA,Colombia
CULTURA ESCOLAR,Colombia
CUNDINAMARCA,Colombia
DISTRACCION,Colombia
DOSQUEBRADAS,Colombia
DUITAMA,Colombia
ENVIGADO,Colombia
ESPINAL,Colombia
FACATATIVA,Colombia
FLORENCIA,Colombia
FLORIDABLANCA,Colombia
FONSECA,Colombia
FUSAGASUGA,Colombia
GARZON,Colombia
GIRARDOT,Colombia
GIRON,Colombia
GUADALAJARA DE BUGA,Colombia
GUARNE,Colombia
IBAGUE,Colombia
INIRIDA,Colombia
ITAGUI,Colombia
ITAGÜI,Colombia
JAMUNDI,Colombia
LA ESTRELLA,Colombia
LA PINTADA,Colombia
LA PLATA,Colombia
LERIDA,Colombia
LETICIA,Colombia
LORICA,Colombia
MADRID,Colombia
MAICAO,Colombia
MANIZALES,Colombia
MANTA,Colombia
MEDELLIN,Colombia
MITU,Colombia
MOCOA,Colombia
MONTERIA,Colombia
MOSQUERA,Colombia
NEIVA,Colombia
NILO,Colombia
NOBSA,Colombia
OCANA,Colombia
OCAÑA,Colombia
PAIPA,Colombia
PALMIRA,Colombia
PAMPLONA,Colombia
PASTO,Colombia
PEREIRA,Colombia
PIEDECUESTA,Colombia
PITALITO,Colombia
POPAYAN,Colombia
PUEBLO NUEVO,Colombia
PUERTO COLOMBIA,Colombia
QUIBDO,Colombia
RIOFRIO,Colombia
RIOHACHA,Colombia
RIONEGRO,Colombia
RISARALDA,Colombia
SABANETA,Colombia
SAN ANDRES,Colombia
SAN GIL,Colombia
SAN JOSE DEL GUAVIARE,Colombia
SAN JUAN DEL CESAR,Colombia
SAN LUIS,Colombia
SANTA MARTA,Colombia
SANTA ROSA DE CABAL,Colombia
SANTA ROSA DE OSOS,Colombia
SANTA ROSA DE VITERBO,Colombia
SANTANDER,Colombia
SINCELEJO,Colombia
SOACHA,Colombia
SOCORRO,Colombia
SOGAMOSO,Colombia
SOLEDAD,Colombia
SOPO,Colombia
TIBASOSA,Colombia
TULUA,Colombia
TUNJA,Colombia
TURBACO,Colombia
TURBO,Colombia
UNIVERSIDAD AUTONOMA DE BUCARAMANGA - UNAB,Colombia
VALLE DEL CAUCA,Colombia
VALLEDUPAR,Colombia
VELEZ,Colombia
VILLA DE SAN DIEGO DE UBATE,Colombia
VILLA DEL ROSARIO,Colombia
VILLAVICENCIO,Colombia
VILLETA,Colombia
YOPAL,Colombia
YUMBO,Colombia
ZIPAQUIRA,Colombia
ZONA BANANERA,Colombia
